Season,Team,Points,PenaltyAreaShots,ShortKeyPasses,ShortAccPasses,UnsuccessfulPasses,SquadValue,Tackles,Interceptions,Shots
2024-25,Arsenal,74,8.55,9.47,410.16,63.32,1160000000,15.74,5.92,14.37
2023-24,Arsenal,89,9.73,11.16,459.84,73,1240000000,16.05,7.68,17.29
2022-23,Arsenal,84,9.2,10.22,437.47,78.74,1070000000,14.95,6.24,15.61
2021-22,Arsenal,69,8.27,9.71,380.6,79.89,681700000,14.21,7.79,15.5
2020-21,Arsenal,61,7.23,8.04,431.02,79.18,722700000,12,9.24,12.08
2019-20,Arsenal,56,6.91,7.7,384.54,80.71,722500000,15.37,9.24,10.68
2018-19,Arsenal,70,7.38,8.71,425.39,91.39,799400000,16.03,10.84,12.29
2017-18,Arsenal,63,8.51,10.23,493.89,97.45,866100000,16.37,11.26,15.63
2016-17,Arsenal,75,8.64,9.72,443.55,91.37,696500000,17.74,14.08,14.89
2015-16,Arsenal,71,9.45,10.41,431.1,88.26,600700000,18.58,19.37,15.05
