Season,Team,Points,PenaltyAreaShots,ShortKeyPasses,ShortAccPasses,UnsuccessfulPasses,SquadValue,Tackles,Interceptions,Shots
2024-25,Chelsea,69,8.55,10.38,441.83,69.45,1190000000,15.47,7.16,15.66
2023-24,Chelsea,63,9.73,10.16,489.02,72.29,1040000000,17.45,7.84,14.45
2022-23,Chelsea,44,9.2,8.52,450.34,78.82,1060000000,19.47,8.97,12.74
2021-22,Chelsea,74,8.27,10.41,511.81,78.39,1020000000,16.34,9.13,15.58
2020-21,Chelsea,67,7.23,8.97,506.78,82.34,1040000000,16.11,10.05,14.63
2019-20,Chelsea,66,6.91,9.85,470.7,90.55,839300000,16.79,12.08,16.45
2018-19,Chelsea,72,7.38,11.32,549.97,81.92,1420000000,16.26,9.29,15.97
2017-18,Chelsea,70,8.51,10.73,433,87.97,1100000000,16.74,11.13,15.95
2016-17,Chelsea,93,8.64,10.48,409.32,85.39,882400000,17.16,13.42,15.26
2015-16,Chelsea,50,9.45,9.22,393.65,90.71,726200000,20.79,13.61,13.84
