Season,Team,Points,PenaltyAreaShots,ShortKeyPasses,ShortAccPasses,UnsuccessfulPasses,SquadValue,Tackles,Interceptions,Shots
2024-25,Liverpool,84,10.77,11.04,436.2,72.63,1160000000,16.89,7.87,17.05
2023-24,Liverpool,82,11.93,12.97,492.97,84.26,1240000000,17.82,7.68,20.79
2022-23,Liverpool,67,9.82,9.34,455.7,93.08,1070000000,15.53,8.76,15.92
2021-22,Liverpool,92,10.51,10.81,500.29,93.58,681700000,14.58,8.97,19.18
2020-21,Liverpool,69,9.23,9.71,500.33,91.32,722700000,13.84,9.13,16
2019-20,Liverpool,99,9.81,10.21,509.38,98.45,722500000,14.47,9.26,15.55
2018-19,Liverpool,97,8.57,9.23,462.89,96.74,799400000,16.11,8.29,15.13
2017-18,Liverpool,75,9.17,10.8,454.96,98.16,866100000,16.76,9.97,16.79
2016-17,Liverpool,76,8.84,11.53,463.78,103.08,696500000,18.89,10.79,16.84
2015-16,Liverpool,60,8.23,11.39,389.07,102.53,600700000,22.92,14.53,16.55
