Season,Team,Points,PenaltyAreaShots,ShortKeyPasses,ShortAccPasses,UnsuccessfulPasses,SquadValue,Tackles,Interceptions,Shots
2024-25,Manchester City,71,9.55,11.64,532.55,60.87,1360000000,13.08,6.03,15.97
2023-24,Manchester City,91,10.76,13.38,613.6,65.74,1510000000,13.61,6.13,18.24
2022-23,Manchester City,89,9.12,10.28,547.98,71.32,1230000000,12.39,5.87,15.79
2021-22,Manchester City,93,11.05,12.16,565.4,71,1110000000,13.11,7.34,18.76
2020-21,Manchester City,86,8.46,10.02,572.67,71.08,1210000000,12.95,8.34,15.39
2019-20,Manchester City,81,10.96,13.54,584.48,74,1250000000,13.53,9.26,19.63
2018-19,Manchester City,98,10.41,12.59,588,76.97,1460000000,13.66,9.53,17.97
2017-18,Manchester City,100,9.22,11.8,629.55,81.55,1260000000,14.82,9.11,17.5
2016-17,Manchester City,78,8.6,10.65,479.62,86.34,740800000,16.89,13.11,16.66
2015-16,Manchester City,66,8.52,10.41,406.54,91,655100000,19.18,16.58,16.18
