Season,Team,Points,PenaltyAreaShots,ShortKeyPasses,ShortAccPasses,UnsuccessfulPasses,SquadValue,Tackles,Interceptions,Shots
2024-25,Manchester United,42,8.75,9.98,407.19,77.68,825000000,21.5,9.42,13.89
2023-24,Manchester United,60,8.83,10,378.88,82.13,834200000,17.79,8.24,14.47
2022-23,Manchester United,75,8.87,11.21,395.1,88.82,905400000,17.29,9.26,15.61
2021-22,Manchester United,58,7.94,8.86,397.96,89.63,855300000,15.39,8.95,13.37
2020-21,Manchester United,74,7.85,8.87,436.08,83.89,898600000,14.5,10.18,13.84
2019-20,Manchester United,66,7.8,9.75,441.33,86.74,797200000,15.26,9.92,14.32
2018-19,Manchester United,66,6.58,8.4,374,89.63,967500000,15.29,9.34,13.84
2017-18,Manchester United,81,7.2,8.96,425.27,86.82,1060000000,14.84,12.66,13.47
2016-17,Manchester United,69,7.47,9.97,417.66,84.16,682900000,18.16,15.29,15.55
2015-16,Manchester United,66,6.94,8.39,411.02,93.26,577100000,20.03,15.58,11.32
