Season,Team,Points,PenaltyAreaShots,ShortKeyPasses,ShortAccPasses,UnsuccessfulPasses,SquadValue,Tackles,Interceptions,Shots
2024-25,Tottenham,38,8.12,8.05,386.63,71.82,777300000,17.39,8.47,13.08
2023-24,Tottenham,66,8.93,10.29,496.2,74.42,865300000,19.05,9.34,15.37
2022-23,Tottenham,60,7.8,8.6,381.44,78.84,693200000,16.24,8.95,13.63
2021-22,Tottenham,71,6.78,8.5,400.33,74.68,766600000,15.29,9.32,12.76
2020-21,Tottenham,62,6.78,8.27,400.58,91.42,821000000,16.74,9,11.66
2019-20,Tottenham,59,6.35,8.16,388.51,91.26,959300000,17.5,10.03,11.68
2018-19,Tottenham,71,7.64,8.98,422.16,94.24,1090000000,16.5,8.55,14.13
2017-18,Tottenham,77,8.35,10.35,440.83,92.29,1040000000,16.26,10,16.39
2016-17,Tottenham,86,8.46,11.58,409.73,92.82,698600000,17.39,8.26,17.61
2015-16,Tottenham,70,8.12,10.88,379,95.76,487900000,21.13,16.97,17.32
